t,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,0.954761016792442,7.9153950449685e-12,1.33127041823994e-06,0,0
0.085,0.184206339685547,NaN,NaN,NaN,NaN
0.15,0.0713815798776147,NaN,NaN,1.04969738063068,NaN
0.2,NaN,NaN,NaN,NaN,0.17082846776263
0.25,0.00937005917618335,NaN,NaN,NaN,NaN
0.35,0.00285269447798248,NaN,NaN,0.833686449490294,0.336080596968605
0.5,0.000875903489714842,NaN,NaN,NaN,NaN
0.55,NaN,NaN,NaN,0.983471000955147,0.316627945017308
0.6,0.00115443670224991,NaN,NaN,NaN,NaN
0.7,NaN,NaN,NaN,0.513453812000731,NaN
0.75,0.00101637503816731,NaN,NaN,NaN,0.570084767455974
0.95,0.00107417073422854,NaN,NaN,0.411125022469514,NaN
1,NaN,NaN,NaN,0.382565924045417,0.406215507252495
1.5,NaN,NaN,NaN,0.511155316956409,0.662442618622983
2,NaN,3.67856962723292e-08,NaN,0.398485324546188,0.583554162461277
2.5,NaN,NaN,NaN,0.351458560553223,0.652051623800449
3,NaN,NaN,NaN,0.4767121472003,NaN
3.5,NaN,NaN,NaN,NaN,0.60047810470592
4,NaN,2.23674849945669e-09,0.000329883784345308,NaN,NaN
6,NaN,2.03565485786655e-10,NaN,NaN,NaN
8,NaN,3.93048587817453e-11,NaN,NaN,NaN
8.5,NaN,NaN,0.000308772393230034,NaN,NaN
10,NaN,1.02360506943116e-11,NaN,NaN,NaN
15,NaN,1.03141142591947e-11,0.000378861517858759,NaN,NaN
20,NaN,1.05170060750569e-11,0.000405269201703465,NaN,NaN
