t,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,1.5975055629347,1.20592459303235e-11,0.000850451731779383,0,0
0.1,0.126407004666706,NaN,NaN,NaN,NaN
0.15,NaN,NaN,NaN,0.89599682807035,NaN
0.2,0.0123314470353977,NaN,NaN,NaN,NaN
0.3,NaN,NaN,NaN,0.735149888037961,NaN
0.35,0.00183889770330025,NaN,NaN,NaN,NaN
0.45,0.00117550139072839,NaN,NaN,NaN,0.260801486767212
0.5,NaN,NaN,NaN,0.514042451439838,NaN
0.6,0.00145955258738599,NaN,NaN,NaN,NaN
0.65,NaN,NaN,NaN,0.514800545014766,NaN
0.8,0.00109901572265747,NaN,NaN,NaN,NaN
0.85,NaN,NaN,NaN,0.529802630563272,NaN
1,0.00116179873810359,NaN,NaN,0.357788125762975,0.371426061748948
1.5,NaN,NaN,NaN,0.489644279288141,0.365321118768885
2,NaN,3.37727775222596e-08,NaN,0.416532121161915,0.41968913528545
2.5,NaN,NaN,NaN,0.453323045238366,NaN
3,NaN,NaN,0.187318870760321,0.319272022271063,0.393903954937804
3.5,NaN,NaN,NaN,0.542798402425154,NaN
4,NaN,2.39140734229769e-09,NaN,NaN,0.343470972658269
6,NaN,2.28806294423225e-10,NaN,NaN,NaN
7,NaN,NaN,0.133698009381286,NaN,NaN
8,NaN,5.8150781076868e-11,NaN,NaN,NaN
10,NaN,5.94798187517737e-11,0.172011022686071,NaN,NaN
15,NaN,4.45465881507462e-11,0.188708091391285,NaN,NaN
20,NaN,7.90331296369185e-11,NaN,NaN,NaN
