t,IR_Obs,IRins_Obs,IRp_Obs,IRiP_Obs,IRi_Obs,IRS_Obs,IRSiP_Obs,XX_Obs,XXp_Obs
0,16.9182269852815,0.00452735984846071,6.4280003906161e-10,2.9693232679487e-06,0.0215101338570871,7.04489582213437,0.0834427971619132,12.1579098856118,0.000170575504662678
2,0.400223760988002,NaN,NaN,NaN,NaN,6.7247668972898,2.32093595896868,NaN,NaN
2.5,NaN,NaN,1.83524731761062e-06,NaN,NaN,NaN,NaN,NaN,NaN
3,NaN,7.08594826886243,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.5,NaN,NaN,NaN,NaN,1.89649681276092,NaN,NaN,NaN,NaN
4,0.189697657765416,NaN,NaN,NaN,NaN,NaN,2.12493491848401,NaN,NaN
4.5,NaN,NaN,NaN,0.000193363238153139,NaN,13.4864533162624,NaN,8.45380370265624,0.00567765109849079
5,NaN,NaN,9.19902296520004e-07,NaN,NaN,NaN,NaN,NaN,NaN
5.5,NaN,8.22127268785078,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,0.204267822533143,NaN,NaN,NaN,NaN,NaN,2.54636006883605,NaN,NaN
7,NaN,NaN,NaN,NaN,2.41773561480283,9.4675498766592,NaN,NaN,NaN
8,NaN,NaN,1.62232555932993e-06,NaN,NaN,NaN,NaN,NaN,NaN
8.5,0.327768411950444,5.61323386899303,NaN,NaN,NaN,NaN,4.04414286047907,12.3336201543537,NaN
9,NaN,NaN,NaN,0.00016291141662012,NaN,NaN,NaN,NaN,0.0025585559276113
9.5,NaN,NaN,NaN,NaN,NaN,7.1878431419967,NaN,NaN,NaN
10,0.226269285461207,8.08202314679105,8.02066331778189e-07,NaN,1.94951744062517,NaN,2.67753809294697,NaN,NaN
15,0.200515880103181,4.83621066295066,1.49329358249651e-06,0.000122344247851924,3.74205210879531,6.81681967467865,3.01334032849732,9.5516481973404,0.00447623626418179
20,0.161138580033343,4.24224779996783,5.90821679069471e-07,0.000147158860011252,5.05345629760667,9.52768002026193,1.69403492782642,13.8967629866447,0.0016286266372334
25,NaN,4.48912303326659,7.87569235666637e-07,7.62839880618425e-05,6.46893183985779,10.0813274117331,1.75727073455945,9.5942862901869,0.00377250033964546
30,0.161179900685793,3.95068332573959,NaN,0.000113413354677142,4.24746659916767,10.7644812039233,NaN,14.7773924010624,0.00232804537614349
35,NaN,3.08426395656059,5.17857609470974e-07,NaN,4.35846884494293,NaN,1.78791118203327,NaN,NaN
40,NaN,2.74966948054279,4.49407891925691e-07,7.76889637407278e-05,5.84939663627833,NaN,NaN,12.1385426837979,0.0014549991821791
45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.7963489482511,NaN
50,NaN,3.16837359534718,3.04013679619537e-07,7.32443041742574e-05,7.17272131395132,NaN,NaN,NaN,0.00247695520665487
55,NaN,4.5644268466788,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,7.4369664055546e-05,7.29013889210573,NaN,NaN,7.06107590717274,0.00299309631599034
70,NaN,NaN,NaN,8.35668078049494e-05,6.99739902816078,NaN,NaN,7.50699218411617,0.00266236668378876
