t,IR_Obs,IRins_Obs,IRi_Obs,XXp_Obs
0,15.6948183810996,0.00624354253798455,0.0145945972550556,0.000131120091367305
1,8.11426542382747,0.736558197475485,0.0369311697647019,0.000654345810600853
2,NaN,NaN,0.110009278523797,0.00120016096459758
2.5,12.2274490161342,2.33653119334405,NaN,NaN
3,NaN,NaN,NaN,0.00166780038315426
3.5,NaN,2.94587544794484,0.179162906733333,NaN
4,5.76740021878297,NaN,NaN,NaN
4.5,NaN,NaN,NaN,0.00215643983336957
5,NaN,3.58946683692262,0.532341121135174,NaN
5.5,2.55348079150537,NaN,NaN,0.00184350012657045
6,NaN,NaN,0.443800197489607,NaN
6.5,NaN,4.85584154084218,NaN,NaN
7,3.46993033772815,NaN,NaN,0.00255117299186794
8,NaN,5.84411494584323,1.45621603255553,NaN
8.5,NaN,NaN,NaN,0.00416411069953727
9,2.23591062995895,NaN,NaN,NaN
10,1.02461624608058,12.5802930109707,2.09526249041229,0.00388418597339412
15,2.46305114153417,4.39236017911881,2.62455536625403,0.00469306551782307
20,1.64385819203732,4.36988013697044,3.4443505159017,0.00340897919167174
