t,Rec_i_Obs,p_IL13_Rec_i_Obs,JAK2_Obs,pJAK2_Obs,SOCS3mRNA_Obs,IL13_DecoyR_Obs,Rec_Obs
0,214.164601740287,0.0422352173806438,2.48454925263127,-0.0403037794985044,0.187544976062887,0.342866721845219,-0.315500220087579
3,273.492640849872,NaN,NaN,NaN,NaN,NaN,2.5832840038974
3.5,NaN,-0.263309956563644,NaN,0.262302678241951,0.166357940412099,NaN,NaN
4,NaN,NaN,NaN,NaN,NaN,0.018313692341526,NaN
6.5,335.912108638007,NaN,NaN,NaN,NaN,NaN,3.25695290478787
7,NaN,-0.139523369621632,3.22489503313667,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,-0.164661035242861,-0.226467263636309,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,0.0564767449739739,NaN
10,284.71485201079,-0.0986539437672068,NaN,0.0733708710147125,0.19235859890138,-0.0212949367608325,5.15724850102823
15,315.454775715054,-0.241901876346275,2.57994264630795,-0.0433011702564885,-0.218598429480141,-0.00745062419567136,4.63472937445231
20,323.476531264137,0.0838780839744444,NaN,0.0204732186194393,NaN,NaN,4.36824606666761
25,288.73623200945,-0.0283741039292185,2.22254994083404,0.0912765091969211,-0.0504165143249321,-0.204746926187811,4.93503464139538
30,258.293218128724,0.0804200758757674,NaN,NaN,-0.156562097070494,-0.148114541733322,3.7268445130456
35,257.554804338968,NaN,2.98287096255159,0.243445756529422,0.31121636590081,0.249709632861612,NaN
45,263.513272165299,NaN,2.96479262009434,NaN,NaN,NaN,NaN
55,254.007217961701,NaN,NaN,NaN,NaN,NaN,NaN
