t,Rec_i_Obs,p_IL13_Rec_i_Obs,pJAK2_Obs,pSTAT5_Obs,DecoyR_Obs,IL13_DecoyR_Obs,SOCS3_Obs
0,282.642865515294,0.0501469983907417,-0.145869184630329,-22.4812222659113,0.349924976745267,-0.0246381731146679,-33.7255284575411
3.5,NaN,NaN,NaN,NaN,0.183570034571689,NaN,NaN
5,NaN,NaN,NaN,NaN,NaN,0.182355313334418,NaN
7,NaN,NaN,NaN,NaN,0.0918343206145316,NaN,NaN
10,NaN,0.506129876564858,2.33320261935809,38.6704100294507,0.0613113283183259,0.186070479840823,-19.768630588531
15,NaN,NaN,NaN,NaN,0.0184479144575982,0.348436958231077,NaN
20,241.98436351198,0.619889877790523,NaN,NaN,0.0112781844844864,0.374306611231177,NaN
25,NaN,NaN,2.59287361403209,98.6937211451238,-0.00988977568238932,0.314616842141779,11.8589556503906
30,NaN,NaN,NaN,NaN,0.0165254219097858,NaN,NaN
35,NaN,0.633281858575223,2.97796424946705,125.33304701071,-0.00974311171699874,0.367852036082723,91.6312565592394
40,239.193655145133,NaN,NaN,NaN,NaN,NaN,NaN
45,NaN,0.507763031223513,NaN,NaN,-0.00202237909952804,0.324385570075456,NaN
50,NaN,NaN,2.17711113123377,145.823322965618,NaN,NaN,115.833353326022
55,NaN,NaN,NaN,NaN,-0.0183223401616227,0.380069125715024,NaN
60,284.074848890037,0.6066562222761,NaN,110.040654927834,NaN,NaN,NaN
65,NaN,NaN,2.17531315437716,NaN,NaN,0.32458991393409,112.154501775842
70,NaN,0.603926841090613,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,1.59471637766943,131.379866265025,NaN,0.309113510083859,208.102029635356
90,223.994457116434,0.442905358903967,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,106.144907938286,NaN,NaN,205.791896954595
100,200.837151150311,0.588045399905328,1.90192279232762,99.7391408974108,NaN,NaN,167.201666879447
150,162.729290261992,0.589631737838638,1.63821263980631,111.579137115422,NaN,NaN,313.335736320257
200,220.921354155435,0.615908170545952,1.10061120770611,121.387852777927,NaN,NaN,286.187204183987
250,NaN,0.518718943131225,1.62812612465296,91.2369268503116,NaN,NaN,279.0639798358
300,161.701089104281,0.533656093164158,1.78716232534108,100.89402632263,NaN,NaN,320.062150984789
