t,p_IL13_Rec_i_Obs,JAK2_Obs,pJAK2_Obs,pSTAT5_Obs,SOCS3mRNA_Obs,IL13_DecoyR_Obs
0,0.192335373276522,2.83613022946765,-0.249463983942639,6.51093342735888,-46.181674106844,0.0877695427589514
3.5,NaN,NaN,NaN,NaN,NaN,0.21033120295126
7.5,NaN,NaN,NaN,NaN,NaN,0.307588199312641
10,1.21555462832446,NaN,2.9522304521161,34.482673972574,147.894606270705,0.430464295235564
15,NaN,0.0120070679034217,NaN,NaN,NaN,0.367625732154736
20,NaN,NaN,NaN,97.8000320613611,NaN,0.280776264476832
25,1.51723334131497,0.0645461634444993,2.63335198327438,NaN,373.056884271674,0.424680916238043
30,NaN,NaN,NaN,134.165300845288,NaN,NaN
35,1.62240324718619,NaN,NaN,NaN,373.158522467218,0.394458459753632
40,NaN,0.444155128035766,3.04835067747276,NaN,NaN,NaN
45,NaN,NaN,NaN,106.291749039436,NaN,NaN
50,1.55057204151782,NaN,2.21028025280256,NaN,227.759281969884,NaN
55,NaN,0.165720830420763,NaN,141.066863229792,NaN,NaN
60,NaN,NaN,NaN,NaN,468.349640237797,NaN
65,1.34961326927781,NaN,2.39716264714456,NaN,NaN,NaN
70,NaN,NaN,NaN,117.994144433921,NaN,NaN
75,NaN,0.375218340490265,NaN,NaN,1147.78481033523,NaN
80,1.39212235239793,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,1.96859378607877,129.095512149362,NaN,NaN
95,NaN,0.586635017690687,NaN,NaN,1296.05911087189,NaN
100,1.39983558084527,0.517484428379397,1.71910939473916,132.844284935889,911.048823431522,NaN
150,1.02223375949195,0.688897752672754,1.51852591164972,98.7780893610131,2175.15836197058,NaN
200,1.17459149383347,1.03028074725353,1.39848648254432,149.363403696016,3015.3867736388,NaN
250,0.823008090945289,1.00863224660864,1.5610168806331,92.7276239728907,3574.81141349494,NaN
300,0.963058355298601,1.07523647875142,1.81741014829183,120.903112690284,4015.27771432997,NaN
