t,p_IL13_Rec_i_Obs,JAK2_Obs,SOCS3mRNA_Obs,DecoyR_Obs,SOCS3_Obs
0,-0.00678576887492175,3.03974031504714,328.276716012294,0.343948136884932,-1.5084096878089
8,0.0854086416024589,NaN,NaN,NaN,NaN
10,NaN,2.13364989910379,-265.155420925531,NaN,NaN
15,0.0813435663336271,NaN,NaN,0.195093720837789,-15.0439588102701
25,0.124027016478962,1.24329430103458,-69.0414087719863,NaN,-31.8003650433287
30,NaN,NaN,NaN,0.138150395089568,NaN
35,0.173220476513272,0.836163506310808,NaN,NaN,NaN
40,NaN,NaN,93.2067243586443,NaN,33.0242907891659
45,0.152510652823555,NaN,NaN,0.0953254059492193,NaN
50,NaN,1.10494333930921,361.851206914572,NaN,NaN
55,NaN,NaN,NaN,NaN,65.641648437779
60,0.18256299011639,0.869881921831595,NaN,NaN,NaN
65,NaN,NaN,363.679033097442,0.0151063086062267,NaN
70,NaN,NaN,NaN,NaN,136.851448127602
75,0.15830008367983,1.06577176486576,NaN,NaN,NaN
85,NaN,NaN,551.543376467709,0.0356946316203535,NaN
90,NaN,NaN,NaN,NaN,185.468974763825
95,0.134601085066011,1.75910984488264,NaN,NaN,NaN
100,NaN,1.62550612242488,1092.02476013784,-0.00904041572088638,217.599009700723
150,NaN,1.8884894739326,1701.44648100552,-0.0026591208971669,234.963602013068
200,NaN,2.28005538543946,1972.47277837444,-0.0129839088615419,315.549022272924
250,NaN,1.99846565798779,2653.25208566692,0.0244741673797223,288.90176332109
300,NaN,NaN,3059.47733886625,NaN,329.39345062009
