t,pEpoRpJAK2_Obs,npSTAT5_Obs,CISHnRNA2_Obs,CISHnRNA4_Obs,SOCS3nRNA2_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,-0.00339523973972788,-0.111744335736896,-0.000303759406741267,2.43298257172019e-05,0.00102779528986043,0.00705288924365979,0.941707824720434
10,0.459417794046192,NaN,NaN,NaN,NaN,NaN,NaN
15,NaN,15.0403078610533,NaN,0.0012050746959782,0.0055260824370886,NaN,0.949876260928655
20,NaN,NaN,0.033345611415296,NaN,NaN,0.0108137275420131,NaN
25,0.220450572814929,NaN,NaN,NaN,NaN,NaN,NaN
30,NaN,13.5262664354211,NaN,NaN,0.00744696278002119,NaN,1.91468356267725
35,0.172601345695952,NaN,0.0542026925172233,0.0275922235042691,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,0.0246995486418769,NaN
45,NaN,10.0744025561856,NaN,NaN,0.00560092509067573,NaN,NaN
50,0.134769998601079,NaN,NaN,0.0468518063176499,NaN,NaN,3.52176940558712
55,NaN,NaN,0.0505767206210934,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,0.00424371003388192,NaN,NaN
65,0.129696468752517,7.47735775804739,NaN,NaN,NaN,0.0306833570235246,3.47656020737519
70,NaN,NaN,NaN,0.0487250318616448,NaN,NaN,NaN
80,0.124881514664842,NaN,0.0346926828121433,NaN,0.00326293804697162,NaN,NaN
85,NaN,5.89481703063713,NaN,NaN,NaN,0.0268890174095472,2.98317490890031
90,NaN,NaN,NaN,0.0373090401717282,NaN,NaN,NaN
100,0.119836399998209,5.74467964771438,0.0298832152137458,0.0348649169333648,0.0032141432698574,0.022603289964441,2.6499463770443
150,0.109099645663862,5.54444282481538,0.0281699192886597,0.0268315425004502,0.00309282273851058,0.0179342763833807,2.19792336275184
200,0.117070135422695,5.62020008711792,0.0257518079672589,0.0255737142789101,0.00283926810735334,0.0180993530463715,2.11698531952195
250,NaN,5.26303656708956,0.0233773089314437,0.0264083030910663,NaN,0.0172445553250753,1.97076444180759
300,NaN,NaN,NaN,0.0260225305559682,NaN,NaN,NaN
350,NaN,NaN,NaN,NaN,NaN,0.0165636756765839,NaN
