t,pEpoRpJAK2_Obs,CISHnRNA4_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.000902046274489316,-0.00131990584836662,0.0044585096089253,0.005895183625848,0.0327330744729368,3.81033207081616
9,0.468111684515469,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,3.28506132524759
10,NaN,-0.00915298153003638,0.011285592726188,0.00573202339748662,0.0329171843070923,NaN
20,0.231315223356672,0.0233821508439421,0.0298810189116469,NaN,0.0392815133978451,4.30435911671855
25,NaN,NaN,NaN,0.0264988028617064,NaN,NaN
30,0.1510702483471,0.0826336685967993,0.0316118814510029,NaN,NaN,7.85695506508461
35,NaN,NaN,NaN,NaN,0.0923162417485781,NaN
40,0.105269740986768,NaN,NaN,0.0283951837661329,NaN,11.6461638690111
45,NaN,0.174685123146587,0.0216833177391404,NaN,0.114998198099182,NaN
50,0.0930415922728833,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,0.0151626243316068,0.0190746277534241,NaN,14.4543062260103
60,NaN,0.197372840125314,NaN,NaN,0.122850989989834,NaN
65,0.0826586308496687,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,0.0129632342032349,NaN,13.1416943952075
75,NaN,0.165714344280094,0.00921723858179931,NaN,0.110372888747112,NaN
85,0.102805514193942,NaN,NaN,NaN,NaN,10.4453570945827
90,NaN,NaN,0.0081010126947393,0.00868035548869391,NaN,NaN
95,NaN,0.114381087596099,NaN,NaN,0.077504650940272,NaN
100,0.100513532030961,0.0950075044115376,0.00840804959239516,0.00807508583238384,0.0762703368905913,8.61096989580186
150,0.0951082247559416,0.069422602847534,0.00995748738421809,0.0095641264443626,0.0565176775936205,6.50315995266239
