t,epo_level,npSTAT5_Obs,CISHnRNA2_Obs
64,2.5e-09,4.63168992536764,0.11342117150507
64,2.5e-09,4.22650779361884,0.182314626113789
64,2.5e-09,4.94259193589113,0.152840664994083
64,2.5e-08,6.3409596966798,0.178550061760718
64,2.5e-08,7.2166439653453,0.179113040461433
64,2.5e-08,8.02668606305954,0.172238654183737
64,1.25e-07,4.11458617730422,0.163725065934234
64,1.25e-07,5.43600234382634,0.181494416280278
64,1.25e-07,6.55480146337762,0.198212498387097
64,2.5e-07,2.10766571317827,0.126866563421432
64,2.5e-07,3.1999002096713,0.100683615131553
64,2.5e-07,2.75138330125882,0.0796392664657983
64,2.5e-06,-0.259786804013546,0.070868617468256
64,2.5e-06,0.525380702639476,0.0103610611568452
64,2.5e-06,3.00520102363648,0.0423451550221789
