t,pEpoRpJAK2_Obs,npSTAT5_Obs,CISHnRNA1_Obs,CISHnRNA2_Obs,CISHnRNA4_Obs,SOCS3nRNA2_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,-0.00123511022518282,0.175346139178565,0.00170841048749233,0.000882556177997742,0.00261644205904507,0.00529394753582498,0.0318668418424031,3.99482691501756
5.5,NaN,3.73047957871499,NaN,NaN,NaN,NaN,NaN,NaN
6,0.349261373569486,NaN,0.0162764391023733,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,0.00149498730728504,NaN,0.00655706050266872,NaN,NaN
7.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.67044533859601
8,NaN,NaN,NaN,NaN,NaN,NaN,0.0326247769606187,NaN
8.5,NaN,NaN,NaN,NaN,0.00535376913415139,NaN,NaN,NaN
10,0.203201254836989,8.54509709774731,0.0617765574867549,NaN,NaN,NaN,NaN,NaN
15,NaN,11.0529765107152,NaN,0.055853652645375,NaN,0.0165442721372921,0.0340250633955476,3.75389208978299
20,0.115389078745658,NaN,0.173985289171949,0.0982961097766152,0.0170320186774558,0.0221851428321556,NaN,NaN
25,0.0930190158055403,10.5890641007842,0.189549584740667,NaN,NaN,NaN,0.049162023879769,5.43301830614882
30,0.0722871168778986,9.71173238635896,NaN,0.165506710152034,0.0637233055616087,0.0226010935165788,NaN,NaN
35,NaN,8.06488397900038,0.188460623093399,NaN,NaN,NaN,0.0697165424359882,8.28766962230104
40,0.0544574631343959,NaN,NaN,0.179081721772077,0.121848186333477,0.0187811004705275,NaN,NaN
45,NaN,5.76223981434622,0.154696091661232,NaN,NaN,NaN,0.0903974544741099,10.2303199397387
50,0.0427080385316466,NaN,NaN,0.155923812294736,0.149884097747939,0.0133481898668493,NaN,NaN
55,NaN,3.95359859976074,0.114538870414692,NaN,NaN,NaN,0.0987281589207346,11.0419320506487
65,0.0468700591134642,2.73373091869031,NaN,0.107122585146873,0.1453366409695,0.00939025982789504,NaN,10.2439779765998
70,NaN,NaN,0.0698502575820989,NaN,NaN,NaN,0.0861408009390207,NaN
75,0.0413173186326236,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,1.9804275400223,NaN,0.0664123249783861,NaN,0.00787273766873522,NaN,8.84302755249412
85,NaN,NaN,0.0425767425998162,NaN,0.0985536943874257,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,0.065570759510478,NaN
95,0.0519277809037279,NaN,NaN,0.0427739683362712,NaN,0.00656137101584032,NaN,NaN
100,NaN,1.46694177394651,0.0300463692900721,0.0395344296762997,0.0630031836359482,0.00677111296241758,0.0597117165963344,6.92888350689332
150,NaN,NaN,NaN,NaN,0.0322166768493428,NaN,0.044667169002024,5.06573269752878
