t,epo_level,pEpoRpJAK2_Obs,SOCS3nRNA2_Obs
17,2.5e-09,0.514369597446347,0.0368827253697884
17,2.5e-09,0.56881983286952,0.0354555229503484
17,2.5e-09,0.489459580749457,0.0352942214467085
17,2.5e-08,0.209687268198509,0.0259433419185319
17,2.5e-08,0.190211752181002,0.0213579362284999
17,2.5e-08,0.184921824463862,0.0300328226549553
17,1.25e-07,0.526879560120264,0.0264553294738521
17,1.25e-07,0.46257537276683,0.0340782387432642
17,1.25e-07,0.433144225364916,0.0319107592348167
17,2.5e-07,0.399014134691545,0.0256319810344211
17,2.5e-07,0.333798478842611,0.0260150753192463
17,2.5e-07,0.425740068241642,0.0307052376320988
17,1.25e-06,0.120719156860786,0.0112638113869934
17,1.25e-06,0.217665159524297,0.0193382216930208
17,1.25e-06,0.196603034614329,0.00789134557086505
17,2.5e-06,0.0991390818561854,0.0124144994111911
17,2.5e-06,-0.000960188890629349,0.00819125949585997
17,2.5e-06,0.0921314560270577,0.000888536424510005
