t,pEpoRpJAK2_Obs,npSTAT5_Obs,CISHnRNA2_Obs,CISHnRNA4_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,-0.00195519294135823,0.0469603586936827,0.000288319371774385,7.37502345220056e-05,0.000118626141044053,0.000228322614218214,0.0079648228327237,1.08150158635276
8.5,NaN,1.90727804738315,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,0.00954545599955353,NaN,NaN,NaN
15,0.411887039972203,NaN,0.00534586655302217,NaN,NaN,0.0155518593862368,0.157857605907196,18.3157551492174
20,NaN,1.57506244529932,NaN,0.00154928554374922,NaN,NaN,NaN,NaN
25,NaN,1.15876141892686,NaN,NaN,0.000298544722681544,0.000184504215517403,NaN,NaN
30,0.20428367548487,NaN,0.0111125220155557,NaN,NaN,NaN,0.127305470497645,14.9694831497892
35,NaN,NaN,NaN,NaN,0.000179023248447264,NaN,NaN,NaN
40,NaN,0.734759699784665,NaN,NaN,NaN,6.16756827932326e-05,NaN,NaN
45,NaN,NaN,NaN,0.00903350446825973,NaN,NaN,NaN,8.63753294045115
50,0.160078854466021,0.73571130830145,0.00765172169835744,NaN,0.000252206809390962,NaN,0.0645763957444145,NaN
60,NaN,NaN,NaN,NaN,NaN,0.000241344717133066,NaN,5.68566577100072
65,NaN,0.828666597690313,NaN,NaN,NaN,NaN,0.0406575198063572,NaN
70,0.160615404659989,NaN,0.00679325666294809,0.0076805693229826,0.000324350800578757,NaN,NaN,NaN
80,NaN,0.888203666766316,NaN,NaN,NaN,0.000230242238549951,NaN,3.3713478744
85,NaN,NaN,NaN,NaN,NaN,NaN,0.0237828681894578,NaN
90,0.164186478292504,NaN,NaN,NaN,0.000198186191903739,NaN,NaN,NaN
95,NaN,NaN,0.00699396867722553,0.00740089924904443,NaN,NaN,NaN,NaN
100,0.161354374086019,0.893623841971609,0.00779274200038881,NaN,NaN,0.000187801031714228,0.0161734064295096,2.07484261645639
150,0.132070224816751,NaN,0.00701036297750911,0.00697220747015324,NaN,NaN,0.00953143144167636,1.30949576339685
200,0.12767831885769,NaN,NaN,0.00666786264855714,NaN,NaN,0.00778584667022305,0.786414525115362
250,NaN,NaN,NaN,0.00622830207829086,NaN,NaN,0.0104059030604845,1.19816518402638
300,NaN,NaN,NaN,0.00593993842300372,NaN,NaN,NaN,NaN
350,NaN,NaN,NaN,0.00550170083409926,NaN,NaN,NaN,NaN
