t,pEpoRpJAK2_Obs,CISHnRNA4_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.0315812676390498,-0.00202694715261693,-0.000180963005396836,0.000344182967816632,0.000109701905908101,0.0138466618546966,3.02234271407859
8.5,NaN,NaN,0.00264667209942677,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,0.0028027005559387,NaN,NaN
10,NaN,NaN,NaN,0.00981829133878228,NaN,NaN,NaN
15,0.395579990338486,NaN,0.0137596788914994,NaN,NaN,0.15392391183962,18.7650671824358
20,NaN,NaN,NaN,NaN,0.00141419413788403,NaN,NaN
25,NaN,0.00323251825401689,0.000331082622473296,0.000210607503273668,NaN,NaN,NaN
30,0.212307994420746,NaN,NaN,NaN,0.000141847396755944,0.127821104996361,13.8160644878954
35,NaN,NaN,NaN,4.35329424938767e-05,NaN,NaN,NaN
40,NaN,NaN,0.000243581694151699,NaN,0.000197586079452872,NaN,NaN
45,NaN,NaN,NaN,NaN,NaN,0.0614384108361525,NaN
50,0.191733176846222,0.0096402148504489,-0.000145362717392704,0.000383045088483924,0.000212948992392626,NaN,5.49126525245817
65,0.204675621267646,NaN,0.00034524650932851,0.000649985200387265,0.000105788952494419,0.0510612109127355,5.07617006583973
80,NaN,0.00785569912580778,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,0.0001851312367045,0.000415623110639372,0.0305064972545764,3.28966288249714
90,0.161730490712676,NaN,NaN,NaN,NaN,NaN,NaN
100,0.167043925355947,0.00727223917145954,NaN,-0.000392736648310279,NaN,0.0216301540519913,-0.3215774208541
150,0.172490549182892,0.00647781758847532,NaN,NaN,NaN,-0.0089207697835524,0.208686319700085
200,0.113601272677496,0.00559012503846068,NaN,NaN,NaN,0.028543117735012,2.11115002752902
250,0.0516040806460554,NaN,NaN,NaN,NaN,0.00762521671183358,1.90764135245869
300,NaN,0.00554558444817814,NaN,NaN,NaN,NaN,-0.0451233629347172
350,NaN,0.00701886098765815,NaN,NaN,NaN,NaN,NaN
400,NaN,0.00552927401573118,NaN,NaN,NaN,NaN,NaN
