t,epo_level,pEpoRpJAK2_Obs,SOCS3nRNA2_Obs
4,2.5e-09,0.00520999094410719,0.00540731199854013
4,2.5e-09,0.0356070880816652,0.00512941749795628
4,2.5e-09,0.0387272523939547,0.00531173598033712
4,2.5e-08,0.204985828887807,0.00544397837726127
4,2.5e-08,0.234221578208308,0.00526359092964824
4,2.5e-08,0.249880808230344,0.00561380665968558
4,2.5e-07,0.950084676049289,0.00560573581165521
4,2.5e-07,0.973068122977467,0.00585859729791611
4,2.5e-07,0.974052468834798,0.00578660127355843
4,2.5e-06,1.13904143705652,0.00587345276953462
4,2.5e-06,1.16201975202436,0.00632526021607744
4,2.5e-06,1.16532577976948,0.00647455225676603
4,2.5e-05,1.24601614240684,0.00675054034213693
4,2.5e-05,1.26118557059807,0.00608133622801712
4,2.5e-05,1.26762343941434,0.00666599191365417
