t,epo_level,npSTAT5_Obs,CISHnRNA2_Obs
10,6.6667e-07,0.0277924516954639,0.000131536175901716
10,6.6667e-07,0.0304487376648473,0.000128873949177577
10,1.3333e-06,0.0461801106477822,0.000142163709822076
10,1.3333e-06,0.0495408180871431,0.000130712892117441
10,2.6667e-06,0.0803966043748652,0.00015380485641223
10,2.6667e-06,0.0852826330473513,0.000143034110217338
10,5.3333e-06,0.115222023739464,0.000175271343268386
10,5.3333e-06,0.116433807943529,0.000168272972326339
10,1.0667e-05,0.136643491069777,0.000207077903462997
10,1.0667e-05,0.144187565134669,0.00020090372225766
10,2.1333e-05,0.151002039890769,0.000221467215092011
10,2.1333e-05,0.153962146142678,0.000214713952667131
10,4.2667e-05,0.155299510934366,0.00023594048914326
10,4.2667e-05,0.157286834019537,0.000233129811572273
