t,pEpoRpJAK2_Obs,npSTAT5_Obs,CISHnRNA1_Obs,CISHnRNA2_Obs,CISHnRNA4_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,-0.03255735077906,-0.0502993464522632,-0.030009345988962,-0.0129918283473098,0.00353244806707189,0.00615810007149583,0.00685665551766594,0.0411241205437394,3.4196822853315
6,0.672278797848204,NaN,NaN,0.0173832793142402,NaN,0.00293044373628932,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,NaN,0.00821589303814529,NaN,NaN
7,NaN,NaN,0.0266823040364341,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,8.554379779928,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,0.0202220295112433,0.00319473674151434,0.0188116199925582,NaN,0.0448077007116916,1.84256230914515
15,0.298636888383999,12.0858327843894,0.194665923745047,NaN,NaN,NaN,0.0196282613605612,NaN,NaN
20,0.259757670916807,NaN,0.224809547864382,0.129033774751927,NaN,0.0362691532035407,0.0255489566823283,0.0387046266255917,2.87376314894691
25,0.194773484291077,14.4388143017115,NaN,0.161525402737308,0.0348263316886791,0.0319444510298436,NaN,NaN,NaN
30,NaN,NaN,0.226988976066704,NaN,NaN,NaN,0.0315115238087164,NaN,NaN
35,0.104147635161434,9.62465397363367,NaN,0.272607168997912,0.123937931729197,0.020667100397015,NaN,0.114667512001687,10.7827749934858
40,NaN,NaN,0.205465090656661,NaN,NaN,0.0279845453524827,0.0361681481577937,NaN,NaN
45,0.0869630437678098,7.96929371193613,NaN,0.196081330878735,NaN,NaN,NaN,NaN,16.6637372362733
50,NaN,NaN,0.23861110832013,NaN,0.197366556373781,0.0133213734291327,0.0183433709850916,0.10329217508723,NaN
55,0.156791376831203,6.75915215577548,NaN,0.184643197466674,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,0.00957819706328794,0.0126709019485624,0.136040906613206,13.5268355925703
65,NaN,NaN,0.093140909587677,0.16146668073057,0.180588976801624,NaN,NaN,NaN,NaN
70,0.0398122789692398,5.06919225376791,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,0.00539608952528051,0.00902173588430892,NaN,10.2400545455114
80,NaN,NaN,0.0784195990058478,0.11339067347976,0.150111481969671,NaN,NaN,0.107473316114093,NaN
85,0.096137180051713,2.938526858168,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,0.0130076632638578,0.00771176122487491,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.8375866454434
100,0.0908027701835848,4.56001325113087,0.00939182462904907,0.0697972293531173,0.0952779709496911,0.0118109479205936,0.0130830424422644,0.0582380451649978,9.72712845930966
150,NaN,5.26265284824775,NaN,NaN,0.0827947647436249,NaN,NaN,0.0572137139839913,7.11587728211091
200,NaN,NaN,NaN,NaN,0.0860259345960312,NaN,NaN,0.0870950255175787,7.63139212314162
