t,pEpoRpJAK2_Obs,SOCS3nRNA2_Obs
0,0.00790435475803824,0.00517911112411995
6.5,0.910193957465999,NaN
7.5,NaN,0.011457262235455
15,0.546677105345254,0.0273287672569212
20,0.424345815369721,NaN
25,NaN,0.0364628031000852
30,0.250434513413473,0.0331280618390733
40,0.175229950211122,0.0282980215313978
50,0.139854601664764,NaN
55,NaN,0.0195391360285762
60,0.13238550521107,NaN
65,NaN,0.0162882087521971
75,0.119025538666679,NaN
80,NaN,0.0119969367577409
90,0.126344232122949,NaN
100,0.137411361705773,0.011932371610029
