t,pEpoRpJAK2_Obs,CISHnRNA4_Obs,SOCS3nRNA2_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,-0.00918883523716582,9.62909022212223e-05,0.000263323485535108,0.00793530380144521,0.822054384728445
8.5,NaN,NaN,0.00020115645069344,NaN,NaN
10,0.0665214758619823,NaN,NaN,NaN,1.01709999340313
15,NaN,NaN,NaN,0.0115396441822558,NaN
20,0.0378477357239473,0.00013905944911748,0.000225937994831851,NaN,1.10037321892032
25,NaN,NaN,0.000171352447555476,NaN,NaN
30,0.025048983389618,NaN,NaN,0.0066771642356809,NaN
35,NaN,0.000890774664058008,NaN,NaN,1.28949610950437
40,NaN,NaN,0.000240759646411089,NaN,NaN
45,0.0215162845211792,NaN,NaN,NaN,1.05311314445312
50,NaN,NaN,0.000232016244506869,0.00846442462256667,NaN
55,0.0127440798966753,0.00118289932252534,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,0.804096836299259
65,NaN,NaN,0.000189259888250445,NaN,NaN
70,0.012398239719828,NaN,NaN,0.00967270700056682,NaN
80,NaN,0.000730007798655223,NaN,NaN,1.08371120990395
85,0.01807807599152,NaN,0.000168957021434249,NaN,NaN
90,NaN,NaN,NaN,0.00810069121490204,NaN
100,0.0141138899184851,0.000659490388853253,NaN,0.00792308092253181,1.20870503645044
150,0.0122019002770195,0.000449489687924921,NaN,0.00654553100498976,NaN
200,0.00722768672317869,0.000378897927778983,NaN,NaN,NaN
250,NaN,0.000540766615968163,NaN,NaN,NaN
