t,pEpoRpJAK2_Obs,npSTAT5_Obs,CISHnRNA1_Obs,CISHnRNA2_Obs,CISHnRNA4_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,-0.00539413570789871,-0.591114639171684,0.0301846570353568,-0.0229877097534427,0.00527559707639205,0.00242246355029758,0.00121330464760986,0.0299539374816136,4.35746671287662
6,0.362010162353571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,5.32231022193489,NaN,0.000400454925819963,NaN,0.00639936074360358,NaN,NaN,7.26582518023714
7,NaN,NaN,0.0367961317889198,NaN,NaN,NaN,NaN,0.0346065303443696,NaN
7.5,NaN,NaN,NaN,NaN,-0.0205290100020898,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,0.0126219278444028,NaN,NaN
10,0.202119063624667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,NaN,11.2180389542819,0.128802650274485,0.0608132269798966,0.0107890692262368,0.0192319103564217,0.0152488226761263,0.0339028393086042,5.36397585431108
20,0.10459448876367,13.3737427060863,0.178168403318008,0.0897686838833676,NaN,0.0252284147393969,NaN,0.0398825700127615,4.37490875658214
25,0.0974979001330071,NaN,NaN,NaN,0.0422374386737395,NaN,0.0245258669765916,NaN,4.36144903046012
30,NaN,8.47080665194696,0.14355261100441,0.148293192808188,0.0821039101887517,0.0176638047409808,NaN,0.0516171579835889,NaN
35,0.0643609838690489,8.7800778584867,NaN,0.183011212430482,NaN,0.0220462767408909,0.0229799718634315,NaN,8.73690766490703
40,0.0802621040123624,NaN,0.189441339121859,NaN,0.114019807500659,NaN,NaN,0.0937343106623863,NaN
45,NaN,4.7614493507329,NaN,0.184389954939919,NaN,0.0150520404265342,NaN,0.0820703213234997,10.0202165047669
50,0.077121430474709,NaN,0.140804180800391,NaN,NaN,NaN,0.0139930146925424,NaN,NaN
55,NaN,NaN,NaN,0.144273565184192,0.141899236691979,0.0117924213745909,NaN,NaN,10.0224429032
60,NaN,0.845524412075164,NaN,NaN,NaN,NaN,0.00969865978584318,0.0698100295711184,NaN
65,0.0509714995889965,NaN,0.0790721198013081,0.0883685507568713,0.132674150945589,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,0.00865069003645762,NaN,0.0914867195675979,8.71960442313892
75,NaN,1.00894843446347,NaN,NaN,NaN,NaN,0.00764628400844375,NaN,NaN
80,0.0593597000120899,NaN,0.0579255939314321,0.0936874275654039,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,0.0774926684557788,0.00832878652939261,NaN,0.0727112800784884,7.73167788764959
90,NaN,1.02842692747999,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,0.0296481379411267,NaN,0.0757583784573061,0.0319556640143022,NaN,NaN,0.00228915168353999,NaN,NaN
100,NaN,0.00202524789772696,0.040180638419503,0.0266095502351283,0.0756753722299438,0.00453909562266894,0.00889710323686088,0.0809094038041016,7.9308826039379
150,NaN,NaN,NaN,NaN,NaN,NaN,0.00419721250340274,0.0500314910167634,NaN
