t,pEpoRpJAK2_Obs,PTP_Obs,npSTAT5_Obs,CISHnRNA1_Obs,CISHnRNA2_Obs,CISHnRNA4_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.00149797488647521,14.982626247534,0.0333163245014529,0.000529090406876601,-0.00194952493334567,0.000247290784300773,0.00520048118476815,0.00587105594433168,0.005576197443046,0.0309188675248672,3.37242400742761
9.5,NaN,14.5804535737756,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,NaN,NaN,13.9032999056115,0.16252534904518,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,0.231035277839436,14.6988970744345,NaN,NaN,0.132957230657322,NaN,0.0319278449001531,NaN,NaN,NaN,4.40920311399472
25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0322361470947602,0.0267318822407798,NaN,NaN
30,NaN,14.2676654424236,NaN,NaN,NaN,0.08204130729206,NaN,NaN,NaN,0.0753290694007999,NaN
35,NaN,NaN,10.873697389527,0.244502115186906,0.230299416485969,NaN,NaN,NaN,NaN,NaN,NaN
40,0.106346842938359,14.8521673374887,NaN,NaN,NaN,NaN,0.0220987070131871,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.2912935451425
50,NaN,NaN,6.71563745727637,0.173825694998546,NaN,NaN,NaN,0.0184199999857718,0.0224404731322931,NaN,NaN
55,NaN,14.88783690721,NaN,NaN,0.185317164366131,NaN,NaN,NaN,NaN,NaN,NaN
60,0.0820806026083803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.126118045570015,NaN
65,NaN,15.4895908143319,NaN,NaN,NaN,0.195179112436003,0.0108387127952139,NaN,NaN,NaN,13.7883815095859
70,NaN,NaN,3.6552414228211,0.0901585919066616,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00943539262296307,0.0108630099772045,NaN,NaN
80,NaN,NaN,NaN,NaN,0.105879436335557,NaN,NaN,NaN,NaN,NaN,NaN
85,0.0931286510679873,15.012998101014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,0.00911113631291882,NaN,NaN,0.0846401005082283,10.5251573756112
95,NaN,NaN,3.01572697555692,0.0656723885625547,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,0.0952174816283004,15.0526403773438,2.92156651569676,0.0614003920966032,0.0656205862832182,0.0940531155855783,0.00825351762824591,0.00791740334543905,0.00820156259858529,NaN,8.76035171820988
150,0.101078351180397,14.2771859284831,4.13080105657996,0.0825849979663005,0.0755010508431828,0.0662455638550805,0.00947698731077193,0.00954305719889098,0.00933220541324668,0.0578018106574497,6.71955522640588
200,0.0889183828687723,NaN,3.73213555938835,0.0786734396151245,0.0754067953029955,0.0787428872828843,0.00922393780444144,0.00907680929684944,0.00987514268590839,0.0546995223447177,6.61486213443926
250,NaN,NaN,NaN,0.0731553610923175,0.0715051344267202,0.0695059158451574,NaN,NaN,0.00956644575818809,0.0534018385427811,6.54921596522486
300,NaN,NaN,NaN,0.0707379313988738,0.0737409353209404,0.0677649483121303,NaN,NaN,NaN,NaN,5.97433551921581
350,NaN,NaN,NaN,NaN,NaN,0.0689013691749832,NaN,NaN,0.00936828815650592,0.0558790273733917,6.50151456764444
400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0528821753416623,NaN
450,NaN,NaN,NaN,NaN,NaN,0.0698181958146823,NaN,NaN,NaN,NaN,NaN
500,NaN,NaN,NaN,NaN,NaN,0.0695379860441672,NaN,NaN,NaN,NaN,NaN
