t,npSTAT5_Obs,CISHnRNA2_Obs
0,-0.00112793995196243,7.68264197870085e-05
8,0.115146773108584,NaN
10,NaN,0.000224519922270589
15,0.220565462070202,NaN
20,NaN,0.000811065452935774
25,0.182758302229409,NaN
35,0.136124949340542,0.00136910073894798
45,0.112518039179733,0.00126377679801272
60,0.0907087286858951,0.00107392799228039
75,0.0794116758516623,NaN
80,NaN,0.000859801273605874
90,0.0777321841184381,NaN
100,0.0815259312221121,0.00073631987891582
150,0.0705769470286627,0.000691238963940019
200,NaN,0.000659700414261477
