t,epo_level,CISHnRNA4_Obs,SOCS3RNA_Obs,SOCS3_Obs
12,2.5e-09,5.19543729873325e-05,0.0326222488304646,3.6233998332322
12,2.5e-09,0.000116690614013654,0.0327736687433563,3.64693014205371
12,2.5e-09,0.000195519292149847,0.0325335230796881,3.85543195495728
12,7.905e-09,0.00019437541912356,0.0317098274027732,3.81244339408689
12,1.25e-08,0.000198523796982652,0.0338780155181589,3.88587767191797
12,1.75e-08,0.000331110057834765,0.0332126121600621,3.68363120332008
12,2.5e-08,0.000401515729572766,0.0332404924284192,3.67367206562681
12,2.5e-08,0.000465630478131606,0.0326250066622826,3.73053551734513
12,2.5e-08,0.000492938914988524,0.0330302704725043,3.98557139675509
12,3.95e-08,0.000726124530321879,0.0328022999415324,3.54057709383838
12,3.95e-08,0.000766101024790946,0.0335862198186477,3.84639634455943
12,3.95e-08,0.000791733431187851,0.0317280712179315,3.78270605996118
12,7.9e-08,0.00142243902447543,0.0322750742307772,3.92486773750071
12,7.9e-08,0.00154256342378226,0.0321701217696608,3.89316786423338
12,7.9e-08,0.00154669390283076,0.0333922018213094,3.86050552014808
12,1.25e-07,0.00206484318078077,0.0337021706257654,3.76133655611296
12,1.7675e-07,0.00256079920040617,0.0328190734195803,3.62441186808349
12,1.7675e-07,0.00272201170408527,0.0363609701148396,3.92849785279194
12,1.7675e-07,0.00272975888818216,0.0331147802176924,3.79041260266138
12,2.5e-07,0.00301007662076477,0.0344139950266164,3.90958395247969
12,2.5e-07,0.00316281133553669,0.0322545182573264,3.88588194215396
12,2.5e-07,0.00316454788136921,0.0334419558749558,3.84900849126334
12,7.905e-07,0.00447890301974773,0.0340405248237903,4.18443515770293
12,2.5e-06,0.00509878463142596,0.0317176071333927,3.85349642503262
