t,tpSTAT3_Obs,nSOCS3RNA5_Obs
0,3.99355788543717,0.00368178149782835
5,NaN,0.00427999790113713
10,NaN,0.00370976885570178
15,6.44523885255056,0.00230982017645585
20,NaN,0.00100366202105303
30,NaN,0.000507299190086762
35,12.8486426139082,5.88250958790017e-05
45,NaN,-0.000318101756399772
50,8.16821692867745,NaN
55,NaN,-0.000419294120310981
70,4.37575042076808,-0.000561366427117702
85,NaN,0.000190967042645016
90,14.6010014611177,NaN
100,15.6378074594433,NaN
150,14.5361655710244,NaN
200,11.0169503444799,NaN
250,16.9905927914574,NaN
300,4.11887336753298,NaN
350,1.1706629266993,NaN
450,13.565731885159,NaN
