t,tpSTAT3_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs
0,3.21951781059423,-0.00837899156090541,-2.34634163271167e-05
10,9.62513232625076,NaN,NaN
15,NaN,NaN,0.00243327179348388
20,6.42702441806262,NaN,NaN
25,NaN,0.286381935757865,NaN
30,4.89248471167988,NaN,NaN
35,NaN,NaN,0.00701680635613499
45,3.91522514128063,NaN,NaN
50,NaN,0.0907101960236103,0.00310142453903254
55,-0.273736547908191,NaN,NaN
70,1.50553943684384,NaN,0.000649048176744393
75,NaN,-0.0200460905828577,NaN
90,0.402559242286315,NaN,NaN
95,NaN,NaN,0.00186907575307832
100,10.1315790081555,0.0945715441032514,0.000692673388914743
150,4.67897272912018,0.0350441307691665,NaN
200,NaN,-0.00579847991950752,NaN
250,NaN,0.0955065833189761,NaN
300,NaN,0.0448974825313728,NaN
350,NaN,0.0604836983780632,NaN
450,NaN,0.0436662813264656,NaN
