t,input_il6,tpSTAT3_Obs
1000,0.1,-0.628844223495769
1000,0.1,0.972037788661978
1000,0.5,0.335590447282759
1000,0.5,0.482049164887332
1000,1,1.43122418639027
1000,1,0.577126361538787
1000,2.5,5.83909743329675
1000,2.5,4.57444934552454
1000,5,4.30483879653448
1000,5,3.71946763477024
1000,10,0.685753901903418
1000,10,0.401473667562532
1000,25,3.65554530985059
1000,25,3.08065641841784
1000,50,1.60208050554626
1000,50,2.48004846852211
1000,100,3.64187330306597
1000,100,2.87918950402623
1000,500,4.48108774360033
1000,500,4.55982957335634
