t,tpSTAT3_Obs,nSTAT3_Obs
0,1.37711012150408,15.6852215741067
6.5,18.5032057012523,NaN
8.5,NaN,101.44230526297
15,11.1550066508019,90.7021162276064
20,9.57034843269047,NaN
25,9.04158292987863,77.1234571610669
35,3.12166676541279,37.6898642154909
45,6.53391439327446,50.6955472367799
55,5.76127602323199,NaN
60,NaN,41.3911263940873
65,2.54188052134457,NaN
75,5.04962875246817,79.5879756487216
90,5.58234690090041,35.7815125980992
100,6.27324330423276,59.4541162810998
150,5.36118697445824,9.3664382690981
