t,input_il6,tpSTAT3_Obs,nSOCS3RNA5_Obs
0,2.5,0.684733210144549,0.00867056949645832
0,2.5,0.840313705847256,0.00825249759994994
0,2.5,0.907573738599264,0.00526908028606712
0,2.5,1.22208402731552,0.00513926502864045
0,2.5,1.22244654545974,0.00635106262480055
0,10,0.327450061620585,0.00558225654755125
0,10,0.363104977523956,0.00234816895552474
0,10,0.747382836961523,0.00582505684667655
0,10,1.08182647812679,0.003760057316052
0,10,1.93038318584658,0.00471825438258038
0,60,0.174728911901041,0.0042484383869333
0,60,0.498531170003082,0.00531863595084014
0,60,0.671325559261886,0.00195326835672325
0,60,1.18623781097767,0.00427376240292481
0,60,1.19757641309895,0.00627486555219674
0,120,0.147773136589133,0.0073327503359818
0,120,0.217739921356911,0.0033729283608238
0,120,0.564442046452641,0.00424871670350932
0,120,0.876051861533245,0.00507478114009266
0,120,1.45358830139744,0.00641827880549555
