t,input_il6,nSTAT3_Obs
340,0.1,27.0635963464841
340,0.1,42.9964396288415
340,0.5,34.8157903076564
340,0.5,44.838842144758
340,1,48.8089742557289
340,1,52.3072050284596
340,2.5,13.1496503685351
340,2.5,40.0060524072092
340,5,31.061139990311
340,5,58.5162213750247
340,10,26.3706252423443
340,10,41.2037084050035
340,25,49.0378397092092
340,25,53.2686074483954
340,50,17.6632335140741
340,50,54.4526339774717
340,100,40.028236367361
340,100,46.6392104216409
340,500,38.55139696029
340,500,54.7632386904959
