t,input_il6,tpSTAT3_Obs
1600,0.1,1.37135230904373
1600,0.1,1.39138622720541
1600,0.5,0.63677965163285
1600,0.5,1.32483606847392
1600,1,0.0105782684510516
1600,1,1.00194048951523
1600,2.5,1.00476354888218
1600,2.5,1.7602879300642
1600,5,2.69990231452249
1600,5,3.38875804363666
1600,10,1.61483861396965
1600,10,2.10078725769195
1600,25,2.64251784133293
1600,25,3.53967342610371
1600,50,4.44287836520636
1600,50,4.52674516367835
1600,100,3.08702782814603
1600,100,4.69184964504936
1600,500,4.00951902543793
1600,500,5.69814810311117
