t,tpSTAT3_Obs,nSOCS3RNA5_Obs
0,1.51790443819972,-0.00530709480981666
15,12.0352716952838,NaN
25,NaN,0.20075469014613
35,5.0602065018269,NaN
50,NaN,0.0984977324111169
55,2.72298982562618,NaN
75,5.21021785924166,0.0692222262845094
95,4.92101986289352,NaN
100,3.23690275774555,0.0878971841689677
150,0.746830743294129,0.0198224065849362
200,0.383496272524821,0.0356041691339717
250,-0.0314843752866349,-0.00539742289360457
300,0.150743037110121,0.00441718838120538
350,0.709315607452349,NaN
400,NaN,-0.0366062455121581
