t,tpSTAT3_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs
0,3.18612441135137,0.00846583031110418,0.000507102189147944
10,6.51871692124591,-0.0496419986591037,-0.000174807004720561
25,5.34379929034999,0.124862814298058,0.00101770585771066
35,NaN,0.145639015810006,NaN
40,5.3736786484538,NaN,0.00469785874301073
50,NaN,0.126143417032491,NaN
55,3.26247590515316,NaN,0.00263783639446743
70,5.31505104666213,0.0500588402745935,0.00280514725229681
90,3.25140757736602,0.066081909357736,0.00180621877094977
100,1.78260108206232,0.0251285119301031,0.00208666874363802
150,5.19978090446673,0.0408714377503513,-0.000223589286472149
200,2.9630091070387,NaN,NaN
