t,input_il6,tpSTAT3_Obs
32,0.1,-1.0174103106691
32,0.1,-0.226570677072871
32,0.1,0.463300135845158
32,0.1,1.64474396829617
32,1,1.46170507974166
32,1,1.46808624880843
32,1,1.67840684546578
32,1,3.85311562699616
32,5,1.30932173097126
32,5,4.00496373092977
32,5,5.35869815029044
32,5,6.75033449085094
32,10,3.09940192387175
32,10,5.51349472800236
32,10,5.83688347688076
32,10,6.27887787997168
32,50,3.66392651553991
32,50,5.12827773314011
32,50,6.45343363374126
32,50,9.64417452570346
32,100,4.51301121679916
32,100,5.79995346725369
32,100,6.17207442965378
32,100,7.1117912112257
32,500,2.89507873522569
32,500,3.19872390913005
32,500,5.99864901135286
32,500,6.35949837169826
