t,tpSTAT3_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs
0,2.96185084174194,-0.00321347108245348,0.00036486201876714
15,6.46979779538931,-0.00202661576600159,0.000266798070728679
30,NaN,NaN,0.00130573669721195
35,4.74089670132642,0.107638127160904,NaN
50,NaN,0.0560309024256809,0.00170159325123944
55,3.90734181726407,NaN,NaN
70,NaN,0.047752475132788,0.000994410391118433
75,2.51633528333858,NaN,NaN
90,NaN,NaN,0.00185013349456643
95,2.18413590877954,0.0587714653542633,NaN
100,1.98905961846871,0.0167408290979075,0.00133252388683767
150,3.93937932660967,0.052931068616022,0.00103871516824543
200,4.59415203859941,0.0261609546416437,0.000483829028403466
250,2.48058852125531,-0.0205663521780328,NaN
300,-1.46699906803451,NaN,NaN
