t,input_il6,tpSTAT3_Obs,nSOCS3RNA5_Obs
7,5,-0.649753562938025,0.00231277573591442
7,5,1.4082392231309,0.00723495286684986
7,5,2.58321257812773,0.00475509606234556
7,5,3.91007224425192,0.00533888137425653
7,20,3.44964779699823,-0.000888568261555146
7,20,3.99108857758727,0.00244361125659905
7,20,5.68234794834394,0.00687160051714593
7,20,7.82928117643065,0.00747422845648989
7,40,2.47861599542588,0.00415667887653293
7,40,7.55422851645563,0.00410443807965842
7,40,8.10883301432239,0.00855883295803607
7,40,10.2187296543304,0.00523007624944425
7,90,12.9729353270854,0.00701567806931216
7,90,13.2900995131522,0.00663203514977353
7,90,13.6013207799701,0.00250891746371422
7,90,14.0207223004506,0.00913146814456292
