t,input_il6,nSOCS3RNA2_Obs
60,0,-0.010714932547769
60,0,-0.00425974112722236
60,0,-0.00283644368035631
60,0,-0.00152377087406607
60,0,0.00814045851066324
60,0,0.013040950128483
60,0,0.0195665184081704
60,0,0.0239415765434696
60,0.0005,-0.0105909092359962
60,0.0005,-0.0103071908578309
60,0.005,-0.0244084207555776
60,0.005,-0.00536971678349701
60,0.005,-0.00494753216959888
60,0.005,-0.00235635307961359
60,0.005,-0.00202547071814563
60,0.005,0.0211363277984411
60,0.05,-0.0230726568771725
60,0.05,-0.0173423097679755
60,0.05,-0.0172281260671329
60,0.05,0.0136509648913774
60,0.05,0.0153637966641078
60,0.05,0.0264240085527386
60,0.1,-0.00769143813390082
60,0.1,0.0141208428446878
60,0.5,-0.00924966979202005
60,0.5,-0.00487930463791646
60,0.5,0.00576429448869087
60,0.5,0.00693770272865546
60,0.5,0.0139335688492604
60,0.5,0.0224699974108799
60,1,0.0054655275864431
60,1,0.010168911404897
60,1,0.0160510083361751
60,1,0.0216545655845698
60,1,0.0248581153173147
60,1,0.0364148089834468
60,2.5,0.000419637024309052
60,2.5,0.01400284449683
60,2.5,0.0141335286495984
60,2.5,0.0183314917457657
60,2.5,0.0268256911695123
60,2.5,0.0375284923479044
60,2.5,0.040528287773837
60,2.5,0.0520821246950171
60,5,0.0288735414172387
60,5,0.0397211251811484
60,5,0.043870793866202
60,5,0.0444265477916732
60,5,0.0478653737153377
60,5,0.0484412203747618
60,5,0.0527155679709023
60,5,0.0624279534011
60,10,0.0376186993201884
60,10,0.0467136531616942
60,10,0.0487341958036954
60,10,0.0490410730507011
60,10,0.0507740651688234
60,10,0.0603311704802353
60,10,0.0636409904063309
60,10,0.0642974596354495
60,25,0.0482737064629694
60,25,0.0541249041981087
60,25,0.0606519246621029
60,25,0.0633475242781191
60,25,0.0637339440613108
60,25,0.0691783736962977
60,50,0.0576940562626582
60,50,0.0646639602534197
60,100,0.0366856095911647
60,100,0.0459053245838418
60,100,0.0481490432529944
60,100,0.0635060026777962
60,200,0.0376406033927123
60,200,0.0425704088380445
60,500,0.0264728507125209
60,500,0.0368260818133493
60,500,0.0409731279170435
60,500,0.0433305269840037
60,500,0.0580357645821093
60,500,0.0621450460661096
