t,input_il6,SOCS3RNA_Obs
350,0.1,6.54897297485704e-05
350,0.1,0.000297963148971557
350,0.5,-0.000396885605425157
350,0.5,-0.000148802039695212
350,1,0.000929326053776643
350,1,-0.000295104850007956
350,2.5,0.00105468062682646
350,2.5,0.00111245923107391
350,5,0.000957283248161366
350,5,0.00126545491605488
350,10,0.00074505936864488
350,10,0.000527752881868119
350,25,0.00114684557270737
350,25,0.00126440286359293
350,50,0.000371012143411499
350,50,0.000369544685114729
350,100,0.00147989340568934
350,100,0.000938640313034951
350,500,0.00131030784948799
350,500,0.00224769392139437
