t,tpSTAT3_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs
0,-1.58367842602932,0.00353443895350854,0.000139851564585663
5.5,NaN,0.00443562502711378,8.97345518870013e-05
10,NaN,0.00383906721824576,9.86213712046906e-05
15,NaN,0.00311238088292658,4.75571116914014e-05
20,10.3540968378735,NaN,NaN
25,NaN,0.000378952786694676,2.28336340858662e-05
30,NaN,-0.000505851116720403,3.33371674875492e-06
35,19.016837004873,NaN,NaN
40,NaN,0.000225701911977129,4.99170248964887e-05
50,NaN,-0.000566591650696897,-2.43022524754593e-06
55,14.1488287702507,NaN,NaN
60,NaN,-0.000168415301086488,-5.62660262953029e-06
70,NaN,-0.000401027825459065,-9.68522909174295e-06
75,15.4055776413133,NaN,NaN
85,NaN,0.00050230824691567,-1.60314609763931e-05
95,13.319781221498,NaN,NaN
100,10.1853776662704,NaN,NaN
150,10.7107461466363,NaN,NaN
200,10.397521309183,NaN,NaN
250,11.2167219345935,NaN,NaN
300,-0.069400099516951,NaN,NaN
350,18.0580372204848,NaN,NaN
450,5.3737466442422,NaN,NaN
