t,input_il6,tpSTAT3_Obs
47,0.1,0.0397201096380499
47,0.1,0.477415517045031
47,0.5,0.944319822565008
47,0.5,1.46532173833606
47,1,0.377175060709438
47,1,1.06639073342814
47,2.5,-1.00850132454749
47,2.5,-0.0129281903090385
47,5,0.234448813650386
47,5,0.843545036179443
47,10,1.74176268542489
47,10,3.53037582907733
47,25,2.29019340970078
47,25,2.74976394746908
47,50,4.10649753427064
47,50,4.70347759602649
47,100,3.67264313662175
47,100,3.70685172199653
47,500,3.09227922353649
47,500,4.16546668205252
