t,tpSTAT3_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs
0,-2.11077518138611,0.00447372041711245,0.0530124511062041,-0.000378138027585068
9.5,NaN,0.0347724029413576,NaN,NaN
10,10.3449826882549,NaN,NaN,NaN
15,NaN,NaN,0.0217159179089709,0.00188352885191976
20,7.73941952263895,0.24072758483829,NaN,NaN
25,NaN,NaN,0.297638792834119,NaN
30,5.72635308881644,0.141922976369843,NaN,NaN
35,NaN,NaN,NaN,0.00614391857142927
40,NaN,0.0760843452141694,NaN,NaN
45,5.56659707183174,NaN,0.25029443788803,NaN
55,3.53001820169653,0.179629203250152,NaN,0.00361217594501945
60,NaN,NaN,0.0152214949049698,NaN
70,3.39015004783477,0.0571887010210285,NaN,NaN
80,NaN,NaN,0.105118671409032,0.00180207212199741
85,NaN,0.0767241485883923,NaN,NaN
90,0.936885498382974,NaN,NaN,NaN
100,3.86814164432857,-0.0291707841168401,0.0325631432542844,0.00171564892834877
150,6.60697631325238,-0.0206953215992781,0.0682010360332413,-3.77398930099125e-05
200,NaN,NaN,NaN,0.000699797134614333
