t,tpSTAT3_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs
0,-0.169717225457764,-0.000882689153080611,0.000435423672113829
15,5.39992913673562,NaN,NaN
20,NaN,0.012833559218531,0.000575128475059923
35,3.35476167204478,NaN,NaN
40,NaN,0.0691313245677444,NaN
45,NaN,NaN,0.00118761376761072
55,3.07259512387601,NaN,NaN
65,NaN,0.0680477688048919,NaN
70,NaN,NaN,0.0011618953287928
75,1.84137957141539,NaN,NaN
90,NaN,0.0378265134321685,NaN
95,3.98443660151776,NaN,0.000675971526669346
100,3.53794337672099,0.0349831891264385,NaN
150,2.84026289650623,0.026015486129859,0.000764130659069679
200,3.19424344248993,0.0412492947602191,0.000514958081371109
250,3.51936026245315,0.0328701538396736,0.000822890814899638
300,NaN,NaN,0.000822082266369884
350,2.6233697492295,0.0156241943263985,NaN
400,NaN,0.035751719706403,NaN
