t,input_il6,tpSTAT3_Obs
42,0,-0.298161064385551
42,0,-0.258319424897427
42,0.5,-0.471375582175601
42,0.5,-0.198649706862362
42,1,-0.425364376346866
42,1,-0.402572142340798
42,2.5,0.251765115492341
42,2.5,0.704885802402141
42,5,-0.235095100446919
42,5,0.838066855953193
42,10,0.873933209804252
42,10,1.85141801264865
42,25,1.64711765636573
42,25,1.71149645280333
42,50,1.7074320279563
42,50,2.56949497254774
42,100,1.99582839607946
42,100,3.40155641062726
42,500,2.28864769711641
42,500,2.48669764645528
