t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs
0,9.84834461254934,2.1401546846182,0.417165443209276,12.8737289427,7.62088732239013,0.0717425316500403
2,NaN,NaN,7.07240232350684,9.52150329378383,8.89791432194571,5.26155479954508
2.5,-0.311214986836084,8.06399673657533,NaN,NaN,NaN,NaN
4,NaN,NaN,NaN,NaN,9.55225755415966,NaN
4.5,NaN,NaN,9.17654148847737,18.6969374878901,NaN,2.63653550951736
5,0.080522883823368,4.44066017078947,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,NaN,6.77137321449883,NaN
6.5,NaN,NaN,NaN,8.37642102244969,NaN,NaN
7,NaN,NaN,9.3641210296536,NaN,NaN,2.49515567274508
8,0.351342197339405,5.49417161009049,NaN,NaN,4.46698801925122,NaN
9.5,NaN,NaN,8.66862476727717,31.9111151010521,NaN,2.47146810647648
10,-0.156553910525413,4.61479287836165,5.00165661295144,16.6405280914854,9.65880465385856,NaN
15,-0.390901128193596,5.70757767393211,-1.34201557325006,8.70896116282837,5.09161001031882,2.50479405557364
20,-0.115282631245834,1.50956028410368,-0.160611947462997,34.1134912397273,1.75175369587811,0.808077277900119
25,-0.152306410122271,8.28229770231552,0.730014550242103,23.2542032835737,7.1210306038128,1.78210627845529
30,NaN,3.5218983182638,5.23878443172539,20.7039354770314,10.8752448819082,2.62259558454301
35,NaN,1.57338044886361,4.84740602167206,9.35076639913967,NaN,NaN
40,NaN,NaN,8.172404861474,NaN,NaN,NaN
45,NaN,6.29901391396845,NaN,NaN,NaN,NaN
