t,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs
0,-1.09671471660317,-0.0377841620287599,22.0205740965337,15.0329762906415,-1.29247278695448
0.85,NaN,NaN,NaN,9.00873215264885,NaN
1,3.00743688517154,6.48935672270915,29.3629479853563,NaN,1.77316243655401
1.5,NaN,NaN,NaN,10.866042178567,NaN
2,NaN,6.83210713745464,20.1534140776289,NaN,4.06373908460927
2.5,4.44964028084241,NaN,NaN,6.64271137810885,NaN
3,NaN,NaN,6.79749127567225,NaN,2.97277090141732
3.5,2.40059082704885,5.62939369227532,NaN,10.7603615658486,NaN
4,NaN,NaN,NaN,NaN,3.20764865132588
4.5,NaN,7.75405518114004,28.0107335540906,5.03645872917921,NaN
5,9.08750023920173,NaN,NaN,NaN,NaN
5.5,NaN,NaN,27.172421498969,5.61417923736596,2.45757591492456
6,NaN,4.84375723237831,NaN,NaN,NaN
6.5,1.07921443118126,NaN,NaN,NaN,5.03741797520825
7,NaN,NaN,11.1302181123148,3.60937367546947,NaN
8,8.46599920603881,7.21904284418705,NaN,6.19012732832539,4.21669687493697
8.5,NaN,NaN,23.4516853386505,NaN,NaN
9.5,NaN,3.74430187821273,NaN,NaN,1.8283193789964
10,9.33001384907323,8.68585015071266,13.5360421998068,1.76741754064436,4.85897869598681
15,5.81906728152621,2.61333115454775,7.404529336907,1.43373535264,3.07565516357586
20,7.64314282706671,4.23127124801808,26.2357225082813,13.113724621957,-0.18394978900106
