t,STAT_Obs,pSTAT_pSTAT_Obs,npSTAT_npSTAT_Obs,nSTAT1_Obs,nSTAT2_Obs,nSTAT4_Obs,nSTAT5_Obs
0,0.951867989884614,0.0184718580126406,0.00481512961003347,0.00351242840494249,0.0226887974377725,-0.00830002357593836,-0.00532677804259902
4.5,NaN,0.290063882150812,0.151410769676989,0.190186398506623,NaN,0.0115359927522809,NaN
5,NaN,NaN,NaN,NaN,0.046911405005789,NaN,NaN
5.5,-0.00195254688730097,NaN,NaN,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,NaN,NaN,NaN,0.0286251979961676
8.5,NaN,NaN,NaN,0.478274802224397,NaN,NaN,NaN
9,NaN,0.171667783377374,0.255472328966999,NaN,NaN,0.218844409934661,NaN
10,-0.0914572241850675,NaN,NaN,NaN,0.43228044028754,NaN,0.207434859762349
15,0.0326041487160822,0.160106799145198,0.148028470734363,0.311184035263318,0.349784021288625,0.386607231417689,NaN
20,NaN,0.164264424504677,0.143936252339244,0.327563247758327,0.331020123577725,0.333082375837898,0.332903716109902
25,0.0338409796235029,0.147563244440231,NaN,0.312478198451649,NaN,0.341773116620009,0.335138618480499
30,0.104282199770716,0.130071556652688,0.152677635569552,0.258080643516732,0.316802962510781,0.313353922734242,NaN
35,NaN,0.134253042618429,0.15795567267459,0.307551113824947,0.282089846934195,0.301189869844179,0.296292574911794
40,0.408472988874274,NaN,NaN,NaN,NaN,NaN,0.266722235218178
45,0.549002383039115,0.0492548195526101,NaN,0.139947275836352,0.203735598021379,0.223469352636549,NaN
50,NaN,NaN,NaN,NaN,NaN,NaN,0.149239920919241
55,NaN,0.00853058150315492,NaN,0.0134396324979212,0.0407720017479394,0.0704128558863443,NaN
60,0.876401126707314,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,0.0130148661924039,NaN,0.00381199058205095,0.00773182745027309,0.0292289521464634,0.0271662641717033
70,1.00364717514009,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,0.0064374702574575,-0.0374256060265992,0.0110775899428651
80,NaN,0.00942046816185492,NaN,-0.00603427723019253,NaN,NaN,NaN
85,1.05299762376458,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,-0.00112357477348634,0.00446347230367874,-0.00425867265890958
100,NaN,NaN,NaN,NaN,NaN,NaN,0.000252038115340432
