t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,29.4555196586479,75.7822481095053,-22.7351033931113
3.5,73.7705691542412,NaN,NaN
7.5,67.7735586354194,NaN,NaN
8,NaN,194.10106668364,NaN
9.5,NaN,NaN,43.8637278479632
10,57.772995338458,NaN,NaN
15,63.919212027633,250.50745443371,NaN
20,67.433439160154,NaN,159.809074056734
25,56.7652834781442,324.408629876057,NaN
30,46.2135032833932,NaN,170.419537756061
35,NaN,539.955264043249,NaN
40,43.0166863101926,NaN,170.346096856344
45,46.6687860437097,537.230985398233,NaN
50,NaN,NaN,168.116837159433
55,51.0753359928702,489.083424500037,NaN
65,NaN,641.8560941138,219.68071963017
70,64.4921043799632,NaN,NaN
80,NaN,747.062883104905,293.565605298942
95,NaN,669.507274809636,NaN
100,NaN,808.325232226047,303.990069560712
150,NaN,1246.73609650787,519.328633427319
200,NaN,1440.52698482063,677.156083237986
