t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,42.6695702164352,35.8417673187594,-0.270271065112208
7.5,39.460471799511,NaN,NaN
9,NaN,52.8799012505444,NaN
9.5,NaN,NaN,0.59560740064261
15,50.6351546588908,NaN,NaN
20,NaN,55.0279627967483,3.14599654509534
25,40.0300414998281,42.1813754044845,NaN
30,NaN,NaN,5.93006167062269
35,37.082242752296,NaN,NaN
40,40.6551950816088,32.1126295996016,4.18658836438482
50,NaN,58.6894430011589,5.06712592055677
55,45.7883297272733,NaN,NaN
60,NaN,60.0694414775791,NaN
65,38.8905366007183,NaN,8.22637095222672
75,NaN,68.2529150729736,NaN
80,37.4866546643844,NaN,7.99249153290193
90,NaN,52.0897793955108,NaN
95,34.681089919587,NaN,NaN
100,49.7786603906401,48.5492093524667,13.721228939584
150,51.4199119870392,97.6350464449365,18.0856226876424
200,NaN,87.663013005919,22.6945061055572
