t,Compound_2_Obs,Compound_3_Obs
0,-84.6216308160489,-22.4675985638351
10,283.128270269575,NaN
15,NaN,-2.07244383672829
20,138.603587720032,NaN
25,NaN,49.9820315007599
30,350.969414654079,NaN
40,NaN,139.028554676479
45,684.395079384476,NaN
55,910.082537360169,192.024862185062
70,1225.49161261968,273.935141429529
85,1854.55578750853,NaN
90,NaN,394.414707976625
100,1811.06269441801,381.385311104655
150,3261.28388522333,441.431502727799
200,4366.45321941643,471.149522798639
250,5191.72064509774,493.908415708484
300,6329.30374242757,491.69621693501
