t,Rec_i_Obs,Rec_Obs,Compound_1_Obs
0,244.227286961882,0.891719268812436,231.304449343807
3,243.970734691616,3.54982343446039,NaN
4,NaN,NaN,249.290614552224
6.5,253.399927005785,3.76986531684169,NaN
8,NaN,NaN,259.226950204978
10,214.632717914477,5.18788374272773,NaN
15,250.174461967454,5.69835677203364,268.992001410232
20,251.185287052947,6.0411226967675,NaN
25,243.804980138283,5.75693373242482,226.571345207431
30,NaN,5.38628994777165,264.863557893866
35,244.936174185554,NaN,246.934369246445
40,244.238678409677,NaN,NaN
45,NaN,NaN,226.009907139328
50,228.18385919987,NaN,NaN
55,NaN,NaN,232.90721700604
60,247.475188432163,NaN,NaN
70,NaN,NaN,242.80764198172
