t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,283.202925332015,-148.001176232913,-33.3597125535738,-208.076442158089
10,NaN,-108.419064615478,NaN,-78.7409699978015
15,247.831315979688,NaN,9.45459170066927,NaN
20,NaN,57.2527435389814,NaN,NaN
25,240.141279313355,NaN,72.0315140854007,342.350642640452
35,NaN,648.617652886091,NaN,NaN
40,235.281365512857,NaN,174.049510805752,597.182047094386
45,NaN,755.868996487047,NaN,NaN
50,NaN,NaN,NaN,915.606410970918
55,214.628832964053,NaN,264.17921133179,NaN
60,NaN,1172.33799356094,NaN,NaN
70,232.07599270417,NaN,NaN,1367.02265068594
75,NaN,1501.04974903631,348.549753985596,NaN
85,233.85025763232,NaN,NaN,1934.20984671211
90,NaN,1886.08683204102,362.168379300039,NaN
100,227.342207698721,2170.57893240624,389.935079418731,2445.78825982932
150,179.061246626849,3458.38764657065,436.278987323621,3523.32120664225
200,178.740967923386,4700.50817755867,467.307820119747,4724.77637641597
250,168.544721400901,5986.67971729911,489.289401590095,5945.19597176946
300,116.213228585758,6986.78605241227,506.037960387669,7210.27072267924
