t,IR_Obs,IRins_Obs,IRi_Obs,XX_Obs,XXp_Obs
0,9.95903490715372,0.113357524657098,-0.378025918151279,10.1800877377003,9.60628747804547e-05
2.5,NaN,7.45949443625836,NaN,NaN,NaN
3,0.0207454569214283,NaN,NaN,NaN,NaN
3.5,NaN,NaN,2.61606655962269,10.6256203052624,0.00355001531077125
5,NaN,5.95837789965888,NaN,NaN,NaN
5.5,0.159085990563779,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,10.9711494857873,NaN
7,NaN,NaN,NaN,NaN,0.00311523849428144
7.5,NaN,5.07524995102802,4.46877231895363,NaN,NaN
9,0.212254794647241,NaN,NaN,NaN,NaN
10,0.124224764484067,3.78313963194759,5.73803191006381,10.2096278357286,0.00270997372266476
15,0.111453543345852,2.89391111731178,7.27774262142174,9.85208203294265,0.00231581184690801
20,0.104338771257515,2.14542963563395,7.25353743317803,9.70055864381172,0.00191122762694473
25,0.0080200125449902,1.83701196002444,8.18047157647543,9.33361802813073,0.00188980751650198
30,NaN,1.71076060508077,8.41320589237695,9.80771706446842,0.00182237386370937
35,NaN,1.24205140687596,NaN,9.9146420308788,0.00144289004520779
40,NaN,1.27310857578547,8.72529852574163,10.0508086389443,NaN
45,NaN,NaN,8.64929619067358,NaN,0.00157129962542742
50,NaN,1.31924580095853,NaN,10.1097866212894,NaN
55,NaN,NaN,8.92434516964762,NaN,0.00144078787694168
60,NaN,NaN,NaN,9.75967415886377,NaN
65,NaN,NaN,NaN,NaN,0.00140766645716094
70,NaN,NaN,9.15033365301235,NaN,NaN
