t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs
0,3.8956613523645,7.82105421917828,0.525460418691888,0.0130525959316523,80.1272237362757,-15.2169581202869,4.69413583481536
8,NaN,NaN,NaN,0.987425009740613,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,89.8057819157971
9,136.256506157308,317.010477793839,NaN,NaN,26.6554377717071,170.341274961579,NaN
10,NaN,NaN,1.23165775350881,NaN,NaN,NaN,NaN
15,NaN,NaN,NaN,0.434461942990111,NaN,NaN,356.825893718588
20,646.182648644585,1078.8947298453,NaN,NaN,45.0232359705268,662.095278764853,NaN
25,NaN,NaN,2.3623542051244,0.196752686976415,NaN,NaN,1068.69431125043
30,703.650745335692,1320.57211375447,NaN,NaN,47.1223132117264,787.714905086802,NaN
35,NaN,NaN,4.91583963910771,0.143279619962286,NaN,NaN,1311.06820927987
40,605.45419642159,1250.86298763993,NaN,NaN,62.0432972000482,638.99933223466,NaN
45,NaN,NaN,NaN,NaN,NaN,NaN,1259.33750975382
50,499.921767283877,1097.65798661697,11.6484957150095,0.096430844668409,63.064683980313,524.555620324533,NaN
55,NaN,NaN,NaN,NaN,NaN,NaN,1101.70269556067
60,NaN,NaN,NaN,0.0415184169258469,NaN,360.748212503842,NaN
65,319.541907059772,814.519924335304,15.1735956934075,NaN,69.7601451444609,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,774.91656648648
75,NaN,NaN,NaN,0.107744443775247,NaN,297.082297354397,NaN
80,251.247026448712,397.52617169718,19.4097102959518,NaN,67.4564082932853,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,526.849577342378
95,NaN,NaN,20.9758829257736,0.0684435910835824,66.1379775344122,166.741261517471,NaN
100,164.435217100065,395.048538200741,19.5665795467632,0.0521292608979957,78.5032483569015,164.039506087632,349.784464070391
150,145.164249593133,203.453021074457,19.0110563569544,NaN,77.4043324448114,110.56161662137,269.740977834472
200,126.066718281593,243.161667220426,16.0964366598607,NaN,67.4365939631672,114.688702583612,249.688607235513
250,NaN,NaN,13.6596226893698,NaN,NaN,NaN,NaN
300,NaN,NaN,10.751620536756,NaN,NaN,NaN,NaN
