t,epo_level,Compound_1_Obs,Compound_6_Obs
95,2.5e-09,44.9035661500819,79.274637896441
95,2.5e-09,54.1778461474394,74.8149600395626
95,2.5e-09,55.4134341283085,83.8724803075886
95,2.5e-08,104.954714299365,76.5483251616387
95,2.5e-08,110.059913309479,81.8373597785867
95,2.5e-08,118.282296520121,75.6025261499501
95,1.25e-07,187.903452316785,65.572038568875
95,1.25e-07,187.932239072138,65.1454692996444
95,1.25e-07,206.506608113095,66.5986665395306
95,2.5e-07,212.500160876129,67.8515032810593
95,2.5e-07,228.663550379963,71.2873932491234
95,2.5e-07,235.792981466171,74.7072150660007
95,2.5e-06,385.621622991562,72.0555323873951
95,2.5e-06,395.270229788699,71.2349837977309
95,2.5e-06,396.045107088537,58.336380473894
