t,Compound_2_Obs,Compound_4_Obs,Compound_7_Obs
0,0.4033109213443,0.0084613874777559,-8.20086834248514
5.5,454.784172055802,NaN,NaN
6,NaN,NaN,198.646329834272
6.5,NaN,1.62724294087222,NaN
10,845.425570957702,NaN,536.951914259522
15,1390.10091391218,0.50715134576924,NaN
20,NaN,0.392224726157366,1049.97570862413
25,1859.563023221,0.264352482841824,1150.33076543017
30,2051.84528201207,NaN,1116.67412483392
35,NaN,0.163025378385619,NaN
40,1737.56137381368,NaN,866.091113710636
45,NaN,0.135023433861812,NaN
50,1530.8470676444,NaN,733.885612120064
55,NaN,0.103080769216136,NaN
60,1187.29313410741,NaN,613.960033213118
70,992.616288584964,0.0997961609437634,NaN
75,NaN,NaN,398.537250373993
80,NaN,0.0818624191774467,NaN
85,844.758985485213,NaN,NaN
90,NaN,NaN,382.286070583395
100,671.889233857082,0.077558351438911,298.820639433509
150,NaN,NaN,269.875343394186
