t,Compound_1_Obs,Compound_2_Obs,Compound_4_Obs,Compound_6_Obs,Compound_7_Obs
0,-21.3971264556241,4.53169058872314,0.00143137510682154,77.5068331598086,18.137521237759
4.5,NaN,58.3341048218566,NaN,NaN,NaN
5,NaN,NaN,0.464653192241753,NaN,NaN
5.5,NaN,NaN,NaN,NaN,72.2492156608945
6,-9.06769247549619,NaN,NaN,44.1420627712502,NaN
9,NaN,271.045298588982,NaN,NaN,NaN
10,169.782619533709,NaN,0.149187379058604,45.9990325340445,171.203933675996
15,NaN,529.493075997285,0.0878818334069633,NaN,376.33451924531
20,445.831426999134,767.221631895845,0.0589974260177918,53.5982357472447,483.37724951318
25,524.275234239392,925.917102118715,NaN,58.9378614531769,NaN
30,NaN,908.242624390011,0.0502730453786494,NaN,552.810557270393
35,485.588605452214,932.014794609372,0.0310175657794409,68.915044738432,461.728022479455
40,436.121974429847,NaN,NaN,62.4900003468248,NaN
45,NaN,817.031565454542,0.0253649786541446,NaN,379.397637500393
55,307.669484502556,649.574678937645,0.0261398633429636,76.3295978710555,273.914310312008
65,247.395963971166,466.1302913107,NaN,79.5734523984699,214.241798711122
70,NaN,NaN,0.0221879455728169,NaN,NaN
75,NaN,344.119440518721,NaN,NaN,NaN
80,150.330207662678,NaN,NaN,79.3540944108079,136.725827044609
90,NaN,275.717153086457,NaN,NaN,NaN
95,NaN,NaN,NaN,72.9373623485347,100.833294545716
100,153.110846607144,180.586801981454,NaN,77.7116794805994,112.473558252467
