t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs
0,6.76903018398851,0.25291717087784,-0.0206934451380936,-0.000392432832655988,177.396304493217,0.231643663256619,0.503041062218353
10,NaN,0.777944558530362,NaN,0.0462352270372012,178.962914251307,0.00195778595476664,1.63197108514823
15,6.95970322577731,NaN,0.130452225388469,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,0.0803477588839194,178.47833458997,NaN,1.28936857809255
25,9.88543125961657,6.85643169835415,0.0664559186259511,NaN,NaN,5.48357806562885,NaN
30,NaN,NaN,NaN,0.0507528551125863,190.544542280052,NaN,7.4745813141223
35,NaN,NaN,NaN,NaN,NaN,7.75090675230493,NaN
40,13.7689829252924,15.5539407511666,0.0724611253720965,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,0.0244891027292918,178.81666783641,NaN,15.1567202782338
50,NaN,18.452786562066,NaN,NaN,NaN,9.86774851158741,NaN
55,16.3299698844292,NaN,0.121781773319228,0.0148465175835542,162.437370047029,NaN,18.0645672468642
65,NaN,17.4179141916106,NaN,NaN,NaN,9.28834682885954,NaN
70,14.0127660638113,NaN,0.230100818363487,0.0150199303381488,176.006975992476,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,16.8174568451439
80,NaN,NaN,NaN,NaN,NaN,7.67119423762432,NaN
85,NaN,15.2632774818365,NaN,0.0132545233366833,NaN,NaN,NaN
90,14.2238470155606,NaN,0.320342059737538,NaN,177.542238232305,NaN,15.3868849896683
100,13.5138923414222,13.6798320021106,0.349194377017803,0.00776641349766249,161.220266083757,6.65505781246498,14.0555644333246
150,11.3933535584076,9.92271836751887,0.431232459042962,0.00768994651470491,186.987502168999,5.12399640890366,10.9095119909475
200,11.8086352287183,8.96966810916249,0.436263687225298,NaN,182.019093071462,4.72046911579409,8.2525129514821
250,9.89782090500792,9.18954792063159,0.44229178893204,NaN,NaN,NaN,NaN
300,NaN,NaN,0.434095820444452,NaN,NaN,NaN,NaN
