t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs
0,7.39000852071124,0.314707809535697,0.0277143662536636,-0.00103961991875031,171.706314513499,0.182832784193908,0.846542886063588
9,NaN,NaN,NaN,NaN,NaN,0.614041938365905,NaN
9.5,NaN,NaN,NaN,NaN,NaN,NaN,-0.763099860125758
10,NaN,-0.343539723008146,0.128295748068376,0.048938886170573,160.871105440166,NaN,NaN
15,7.5076426063029,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,5.217188380525,NaN,0.079969587401953,178.427328524254,2.68257943541535,1.81317183817636
25,8.48811127164095,NaN,0.0827624944111246,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,0.0471311665750503,169.503425092901,6.29056722441895,7.52917366091522
35,NaN,13.6014643173941,0.0654987462368404,NaN,NaN,NaN,NaN
40,15.1085832587684,NaN,NaN,NaN,NaN,8.74690099330864,13.0844112803634
45,NaN,18.5552728920595,NaN,0.0217334694509952,170.284664902787,NaN,NaN
50,NaN,NaN,0.123921896024856,NaN,NaN,9.2931785714139,NaN
55,16.6817262100354,NaN,NaN,0.0187843157935851,176.713640082175,NaN,16.8489092666589
60,NaN,17.4353460934265,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,0.181201130837857,NaN,NaN,8.93066055717072,17.9825125791659
70,13.803787340911,NaN,NaN,NaN,175.311761145538,NaN,NaN
75,NaN,16.6953172106486,NaN,0.0116103554644913,NaN,8.13662528042696,NaN
85,14.2620786840965,NaN,0.295429965628752,NaN,159.723627265024,NaN,16.8019163479803
90,NaN,NaN,NaN,0.0117898027142377,NaN,NaN,NaN
95,NaN,13.70210374528,NaN,NaN,NaN,7.25715987813463,NaN
100,12.6601198186629,13.0022092529993,0.348743683374979,0.0117003358503248,170.066007179516,6.34200319865991,13.8742047450115
150,11.0600259266339,10.5276430253418,0.429014460469389,0.00772409414016154,188.026046483597,4.85460187462083,11.5669097732301
200,10.1668295318302,9.40520209943919,0.454091932108406,NaN,171.28000035829,4.91950255684594,8.88909870039462
250,10.9658286234776,7.73260286875294,0.444836509897359,NaN,NaN,NaN,NaN
300,NaN,NaN,0.444324291077669,NaN,NaN,NaN,NaN
