t,epo_level,Compound_2_Obs,Compound_4_Obs,Compound_7_Obs
5,2.5e-09,2.40792226881362,-0.0157038590301989,1.39594532161628
5,2.5e-09,8.43799968215362,0.0140957687106439,-6.88309956906232
5,2.5e-09,8.44376681603912,0.0541409458556744,5.83999247508851
5,2.5e-08,6.30980720119741,0.260380668234234,11.6710553049192
5,2.5e-08,7.49744562041224,0.290744710350212,9.7638019283363
5,2.5e-08,10.6381027080924,0.229854084044107,6.28368846185915
5,2.5e-07,115.42730888746,1.38387433973431,85.1283609352501
5,2.5e-07,123.995195375441,1.37575345961778,87.1648213054005
5,2.5e-07,136.617436198851,1.39728416033159,86.6669335713174
5,2.5e-06,304.446349522551,2.31700847935222,158.751070687458
5,2.5e-06,311.682866528884,2.15947441480138,160.117271923907
5,2.5e-06,317.599557695067,2.14327892184027,164.839759767666
5,2.5e-05,358.23796436811,2.35232711490336,183.822781140758
5,2.5e-05,363.435212876777,2.43995067946734,172.983464784137
5,2.5e-05,373.061394479661,2.38382174761935,173.034650351027
