t,epo_level,Compound_8_Obs
13,2.5e-09,1.02574235197299
13,2.5e-09,9.42975110567084
13,2.5e-09,16.0497508567052
13,7.905e-09,8.0115666082634
13,1.25e-08,-6.96241009259635
13,1.75e-08,-5.70109737568921
13,2.5e-08,30.3917592423837
13,2.5e-08,30.9558023226134
13,2.5e-08,31.6932672978865
13,3.95e-08,37.4269529044242
13,3.95e-08,55.0758949476163
13,3.95e-08,63.1464583557717
13,7.9e-08,115.329297859854
13,7.9e-08,135.290619009379
13,7.9e-08,141.75444740658
13,1.25e-07,187.706465410881
13,1.25e-07,187.888940627252
13,1.25e-07,206.815298525647
13,1.7675e-07,247.210779226804
13,2.5e-07,314.076741148825
13,2.5e-07,329.85365842871
13,2.5e-07,342.306409007494
13,7.905e-07,450.797377702656
13,7.905e-07,451.029337631434
13,7.905e-07,490.863398071205
13,2.5e-06,535.50452836632
