t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs
0,-15.2576544068207,-44.7947780059778,0.60101573181108,0.000827970955698327,20.00156344633,77.9244697385909,0.334242270516504,-10.1847780800502
15,467.360459995525,NaN,NaN,NaN,NaN,29.7963819512878,NaN,352.486031412996
20,NaN,1081.67505118908,NaN,0.286992894059675,NaN,NaN,675.432986532429,NaN
30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1170.20488413655
35,722.192669473778,1333.09514223098,5.12661651515339,NaN,NaN,60.0190663474112,NaN,NaN
40,NaN,NaN,NaN,0.125287070875138,NaN,NaN,659.50428698288,NaN
45,NaN,NaN,NaN,NaN,16.7916905001168,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1148.81247582193
55,426.570694154467,944.774898754302,NaN,NaN,NaN,60.1117112767709,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,391.372003664959,NaN
65,NaN,NaN,NaN,0.0830980515273256,NaN,NaN,NaN,NaN
70,NaN,NaN,17.3664602659539,NaN,NaN,NaN,NaN,740.584630704563
75,275.590757260161,526.573707279965,NaN,NaN,NaN,72.2411159126104,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,200.720778827896,NaN
90,NaN,NaN,NaN,0.0625914172686874,15.4321393876535,NaN,NaN,417.174297767101
95,NaN,NaN,NaN,NaN,NaN,71.7303883456413,NaN,NaN
100,168.662746190515,258.941539191109,20.4643896226111,0.0793695786656353,NaN,75.8456166748464,171.766280188735,344.529444891621
150,100.602380335525,234.573233450736,17.8880382702707,0.0647380192157062,16.5825664065556,79.521736077901,114.287103020398,268.943317311256
200,106.41888554844,225.327698079698,17.0794232435303,0.0593667226088183,17.011245520891,82.6438942539364,118.658499164535,179.637246851378
250,113.38464841451,242.743911222752,14.2598144570349,0.0475922125735743,17.7260453044377,69.0560962002181,89.6799666692072,189.617481982833
300,117.747033796593,285.673113534773,13.9370980160833,NaN,NaN,74.8485919356496,103.051350184439,NaN
350,NaN,NaN,NaN,NaN,16.3197813687816,NaN,NaN,NaN
400,NaN,NaN,12.055968431544,NaN,NaN,NaN,NaN,NaN
450,NaN,NaN,10.481084277101,NaN,NaN,NaN,NaN,NaN
550,NaN,NaN,9.60070487401105,NaN,NaN,NaN,NaN,NaN
700,NaN,NaN,9.32417962300188,NaN,NaN,NaN,NaN,NaN
