t,pSTAT_pSTAT_Obs,nSTAT2_Obs,nSTAT3_Obs
0,0,9.78395185531651e-05,8.89942564125315e-05
4.5,0.342823352267337,NaN,NaN
5.5,NaN,0.0956425138682796,0.0979660137243725
9,0.349367200296733,NaN,NaN
10,NaN,0.126299666345656,0.154445755484277
15,0.327659796524036,0.148411960683273,NaN
20,0.274518590544091,0.111705211839781,0.118719491146603
25,0.293587664496011,NaN,0.117271431363766
30,0.214574513017038,0.098280596488735,0.0987088450676596
35,NaN,0.0816876589350293,NaN
40,0.110177665896136,NaN,0.0572104379444871
45,0.0714561199690756,0.0284769139058901,NaN
50,NaN,NaN,0.0225415007189919
55,0.0241030453226922,0.012108996817711,NaN
60,NaN,NaN,0.00674317943813092
65,NaN,0.00382300459721613,NaN
70,0.00419406581777785,NaN,NaN
75,NaN,0.00117606154892984,0.00135943248745512
80,0.00121968634010548,NaN,NaN
90,NaN,0.000319954462138963,0.000331765447424349
