t,EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1Act_Obs,Compound_1_Obs
0,0,0.000133337807959847,5.99218490560277e-05,0.000112743294217297,0.0956438333429622
10,NaN,NaN,0.38418900340829,NaN,NaN
15,0.119688054402846,0.125293263249541,NaN,NaN,18.4216055054862
20,NaN,NaN,NaN,0.0352234503487592,NaN
25,NaN,NaN,0.128687969678375,NaN,NaN
30,NaN,0.0936786656101708,NaN,NaN,NaN
35,0.130150759001126,NaN,NaN,NaN,24.3028701414622
40,NaN,NaN,0.0771641375373341,0.0513175339189727,NaN
45,NaN,0.101015161126164,NaN,NaN,NaN
50,0.0532345532340246,NaN,0.107100995704969,NaN,NaN
55,NaN,NaN,NaN,NaN,16.6427671444753
60,NaN,0.0620105415318379,NaN,NaN,NaN
65,NaN,NaN,NaN,0.0908903531269007,NaN
70,0.0691342420899995,NaN,0.0513967646807791,NaN,NaN
75,NaN,NaN,NaN,NaN,12.4870983101825
80,NaN,0.0867980191800057,NaN,NaN,NaN
90,0.0770825132124068,NaN,0.0454675796815652,0.0857799827390655,NaN
95,NaN,NaN,NaN,NaN,12.7383138827336
100,0.0741349230010538,0.0657776719780172,0.0352637097671653,0.0655429474437878,7.87957950400332
150,0.0762180497441421,0.0930186543128419,0.0267966409236847,0.0913501526663543,9.00395319760927
200,0.0627759930758672,0.0799248647312066,NaN,0.171404305449678,8.67741982434866
250,0.0664345138179842,0.0433684026541717,NaN,0.0747220026780799,5.51810646360935
300,0.0662443020600666,NaN,NaN,0.124119872998867,7.10184691476784
350,NaN,NaN,NaN,0.0918301508146893,NaN
450,NaN,NaN,NaN,0.101151325068736,NaN
