t,EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,CISnRNA3_Obs,Compound_1_Obs
0,0,9.02081363988585e-05,8.35173129154048e-05,13.5159571679591,0.113376656807622
4,NaN,NaN,0.253526909605463,NaN,NaN
5,NaN,NaN,NaN,13.1874425763299,NaN
5.5,NaN,0.204676251378023,NaN,NaN,33.3749089420206
6.5,0.049678823706617,NaN,NaN,NaN,NaN
8,NaN,NaN,0.137939147090921,NaN,NaN
10,NaN,0.118592728154191,0.106800787464757,63.9652351472264,14.6558323846474
15,0.089773893725198,0.0894659485453032,0.0540545001487582,331.926551974679,22.9736744025364
20,0.0587646404943108,NaN,0.0567270369437436,579.897863246161,NaN
25,0.0650988993479782,0.0567158144475424,NaN,1626.25459646266,14.3251922236992
30,NaN,0.0314420365544424,0.0403723291762184,NaN,16.412406837428
35,0.0716339390018623,NaN,0.0156562984978942,3327.8179269529,NaN
40,NaN,0.0327464345356545,NaN,NaN,6.04412644459062
45,0.0651161982086823,NaN,0.0210313561894035,5780.20178724696,NaN
50,NaN,0.0457673595482914,NaN,3802.71512785673,8.52214467452846
55,0.0610659117784798,NaN,0.00909354304903907,NaN,NaN
60,NaN,0.0244964180020367,NaN,NaN,3.64879590923566
65,NaN,NaN,NaN,3199.45244992984,NaN
70,0.0873150710993863,0.0335514227181275,NaN,NaN,NaN
75,NaN,NaN,NaN,2719.66659110969,2.58144480138882
85,0.05572403962948,0.0216230178857558,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,2.73295518649656
95,NaN,NaN,NaN,1389.36550098691,NaN
100,0.0483567526398621,0.0228344664623056,NaN,1310.38651353028,1.98456193674253
